,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
0,0,0.4,1,,3.0,,propose_addition,Addition,,0.503679452988,0.504232076986,5.0
1,1,0.4,1,,2.86198662798,,propose_relation_plane_change,,,0.000174653017893,0.504696056014,
2,2,0.4,1,,2.73032248624,,propose_addition,Addition,,0.463741682004,0.968554135994,5.0
3,3,3.24961193288,0,,2.6047154819,True,propose_addition,Addition,,0.177992711018,1.14666853298,1.0
4,4,3.24961193288,0,,2.48488695962,,propose_addition,Addition,,0.452944266028,1.59974130901,5.0
5,5,2.9117333907,0,,2.37057108349,True,propose_resample,Resample,,0.0745002410258,1.674367606,0.0
6,6,2.9117333907,0,,2.26151424721,False,propose_deletion,Deletion,,0.00400093599455,1.67850746802,0.0
7,7,1.58364214413,0,,2.1574745115,True,propose_reinit_pose,ReinitPoseMove,,0.0345726700034,1.71319181303,0.0
8,8,1.58364214413,0,,2.05822106737,,propose_translate,TranslateMove,,0.010917343956,1.72422720003,5.0
9,9,1.58364214413,0,,1.96353372408,False,propose_deletion,Deletion,,0.00298065302195,1.72731322201,0.0
10,10,1.58364214413,0,,1.87320242063,False,propose_deletion,Deletion,,0.0031775420066,1.73057751299,0.0
11,11,-3.55760024649,0,,1.78702675978,True,propose_addition,Addition,,0.112143117003,1.84281013702,0.0
12,12,-3.55760024649,0,,1.70481556344,,propose_addition,Addition,,0.448604285019,2.29154177301,5.0
13,13,-3.55760024649,0,,1.62638644858,False,propose_deletion,Deletion,,0.0255287509644,2.31718795799,0.0
14,14,-3.55760024649,0,,1.55156542259,False,propose_addition,Addition,,0.121976202005,2.43927249499,0.0
15,15,-3.55760024649,0,,1.48018649729,,propose_addition,Addition,,0.448495346995,2.88790567801,5.0
16,16,-3.55760024649,0,,1.41209132072,False,propose_deletion,Deletion,,0.0226782120299,2.91070386098,0.0
17,17,-3.55760024649,0,,1.3471288258,,propose_translate,TranslateMove,,0.0138434059918,2.92465914402,5.0
18,18,-3.01583639226,0,,1.2851548952,True,propose_addition,Addition,,0.142595825018,3.06742516003,0.0
19,19,-3.01583639226,0,,1.22603204165,,propose_addition,Addition,,0.446597700997,3.51414959203,5.0
20,20,-3.01583639226,0,,1.16962910289,False,propose_addition,Addition,,0.491820949013,4.00609686202,4.0
21,21,-3.01583639226,0,,1.11582095072,False,propose_addition,Addition,,0.227023554966,4.23327779002,1.0
22,22,-3.01583639226,0,,1.06448821339,False,propose_addition,Addition,,0.360992310976,4.59447153501,2.0
23,23,-3.01583639226,0,,1.01551701079,,propose_relation_plane_change,RelationPlaneChange,,0.184084230044,4.77869885002,5.0
24,24,-0.880433842346,0,,0.968798701788,True,propose_addition,Addition,,0.146109191002,4.92494222103,0.0
25,25,-0.880433842346,0,,0.92422964324,False,propose_addition,Addition,,0.345364606008,5.27043360402,2.0
26,26,-0.880433842346,0,,0.881710960044,False,propose_addition,Addition,,0.499268900021,5.769844633,4.0
27,27,-0.880433842346,0,,0.841148325796,False,propose_addition,Addition,,0.540247155994,6.31022671802,4.0
28,28,-0.880433842346,0,,0.802451753525,,propose_rotate,,,0.000217823020648,6.31058300298,
29,29,-1.04292593524,0,,0.765535396062,True,propose_resample,Resample,,0.214860677021,6.52551004401,1.0
30,30,-1.21249248703,0,,0.730317355591,True,propose_reinit_pose,ReinitPoseMove,,0.0907220310182,6.61638598301,0.0
31,31,-1.21249248703,0,,0.69671950196,False,propose_addition,Addition,,0.275957235019,6.89248189802,1.0
32,32,-0.180207910766,0,,0.664667299354,True,propose_addition,Addition,,0.165910252021,7.05853598402,0.0
33,33,-0.569404461675,0,,0.634089640935,True,propose_addition,Addition,,0.554125053983,7.61279323202,4.0
34,34,-0.703471787052,0,,0.604918691098,True,propose_reinit_pose,ReinitPoseMove,,0.147267460008,7.76018475898,0.0
35,35,-0.703471787052,0,,0.577089734979,,propose_addition,Addition,,0.444051522994,8.20436447603,5.0
36,36,-0.703471787052,0,,0.550541034884,,propose_addition,Addition,,0.455719857011,8.660201761,5.0
37,37,-0.703471787052,0,,0.525213693331,,propose_translate,TranslateMove,,0.0124942580005,8.67281647102,5.0
38,38,-0.703471787052,0,,0.501051522381,False,propose_relation_plane_change,RelationPlaneChange,,0.273675988021,8.94666221103,4.0
39,39,-0.703471787052,0,,0.478000918994,False,propose_addition,Addition,,0.575175211008,9.52196208603,4.0
40,40,-0.703471787052,0,,0.456010746108,False,propose_deletion,Deletion,,0.112230836996,9.63433327602,0.0
